종목코드,총자산,총자본회전율,부채비율,매출액증가율,자기자본회전율,당기순이익,최대주주변경,대표이사변경,전환사채,파산신청,거래정지,불성실공시법인,레이블
47710,1125.676055,0.058640789,2.161236948,0.042843091,18.53774301,-374.57244,0,2,2,0,9,2,1
47940,436.9275579,0.066231849,1.631059588,-0.275967383,17.4259941,-343.3464148,1,2,2,0,7,0,1
48140,204.3757259,1.609294639,1.199303712,-0.105130082,353.9327673,-39.07407907,4,3,1,0,6,2,1
48270,135.932016,0.578855555,-1.391480952,0.83544218,-22.66109239,-648.302798,1,1,3,0,8,2,1
48510,198.4376003,0.167533674,77.29982474,-0.383175214,1311.785728,-143.4110413,1,2,2,0,13,4,1
48640,294.3138058,0.804756807,-6.617823906,-0.113581707,-452.0982027,-350.0381273,2,0,1,0,9,3,1
49690,1502.520652,0.064101129,0.181591191,-0.343491007,7.57413293,-112.0043924,0,0,0,0,5,2,1
50050,381.5992842,0.696054443,-3.396238293,5.460935281,-166.7912311,211.2796522,0,0,10,0,6,8,1
50640,444.9560904,0.642308398,2.584578922,-0.219986777,230.2405146,-196.8677843,4,1,1,0,6,2,1
51170,774.73687,0.561323672,4.352179223,-0.070064397,300.4304893,-370.6940336,1,0,0,0,10,4,1
51310,6050.437356,0.756462983,-5.587084704,-0.265863746,-346.9959776,-3473.57232,0,0,0,0,3,0,1
51530,81.52254692,0.156944335,10.63675387,-0.673208983,182.6322592,-505.965391,1,2,2,0,7,0,1
51810,504.0575455,2.192530619,-2.824495168,-0.358518935,-400.026152,-121.1537952,0,0,0,0,5,0,1
52210,334.7782948,0.156521084,0.035036799,-0.585333633,16.20050822,-91.92530321,10,5,4,0,15,4,1
52290,361.864088,0.096244732,1.151959185,-0.762774274,20.71147343,-364.1542088,0,0,9,0,3,0,1
52310,425.5389402,0.194237149,0.40032621,1.265981041,27.19953703,-372.4710536,1,2,3,0,6,0,1
52350,355.2613208,0.270139407,0.137056357,-0.180682764,30.71637304,-89.76128215,1,2,1,1,14,7,1
52510,413.9061118,0.982269511,3.027246851,-0.289567699,395.5841795,-60.97596725,5,2,7,0,9,2,1
52560,56.74305333,0.109249435,-4.021055346,-0.939939133,-33.00485893,-306.5006634,3,4,11,0,15,5,1
52640,635.5366887,0.054988684,0.332307992,-0.183983005,7.326186282,-206.246256,3,5,8,0,11,2,1
52650,78.25146496,0.647104306,5.634148741,-0.488161501,429.2986215,-253.8987541,4,1,0,0,3,1,1
52810,219.0632592,0.14722712,1.242870919,-0.668491157,33.02114255,-172.4690459,5,3,0,0,5,0,1
52880,308.1449494,0.966354122,3.657841701,0.193060896,450.1124526,-193.5193286,1,2,0,0,7,1,1
52970,266.1666868,0.73539782,8.189481755,-0.512532234,675.7924851,-212.9796031,5,4,5,0,14,10,1
53070,147.2515261,0.244440818,-3.024167488,0.562509438,-49.47891571,-520.8192076,3,6,4,0,16,4,1
53170,273.4555062,0.117977886,-26.65677365,2.301955739,-302.6931911,-314.9067816,1,3,22,0,10,4,1
53330,86.05800175,0.941200652,-2.20007265,-0.821726568,-112.9509161,187.04773,1,2,0,0,13,7,1
53440,388.1931369,0.732377468,1.486006866,0.041947713,182.0695415,17.94708986,0,0,0,0,3,0,1
53810,447.2143196,0.244016131,1.495664716,-0.266086849,60.89824492,-51.98138375,2,3,1,0,8,3,1
53870,143.1413485,0.51269646,5.634703633,-0.289330069,340.1589067,-43.79209948,0,0,0,0,6,0,1
53890,506.0840396,0.412825034,2.627431107,-0.147297291,149.7494371,-320.7161598,1,0,5,0,8,3,1
54010,358.0281627,0.118331042,136.7550981,0.304844688,1630.07043,-216.2346136,2,3,4,0,13,15,1
54020,235.896759,0.138090425,1.803024029,-0.557849931,38.70707785,-57.71213029,6,5,5,0,12,2,1
54120,825.7755897,0.217668653,2.617021402,-0.012704017,78.73121756,-293.4852394,0,2,2,0,5,0,1
54150,201.1353228,0.206915935,0.245697735,1.191751737,25.7754711,-3.03918141,4,1,0,3,20,4,1
54170,346.4832758,0.498455751,2.618376967,-0.706137432,180.3600807,-146.2571602,2,1,4,0,3,4,1
55250,174.7579777,0.210409684,0.385535661,0.039899236,29.15301209,-51.15545082,3,3,3,0,5,0,1
